Source,Target,Type,id,label,timeset,weight
12,97,Directed,268,US/PE,,1.0
6,62,Directed,269,NL/IN,,2.0
12,98,Directed,270,US/ET,,4.0
69,12,Directed,271,PL/US,,3.0
31,62,Directed,272,FR/IN,,15.0
63,135,Directed,273,ES/BE,,1.0
12,109,Directed,274,US/SE,,60.0
12,51,Directed,275,US/NG,,2.0
7,56,Directed,276,MY/JM,,5.0
51,125,Directed,277,NG/LT,,9.0
87,100,Directed,278,GB/IQ,,8.0
63,62,Directed,279,ES/IN,,13.0
123,75,Directed,280,TR/UG,,4.0
44,109,Directed,281,BR/SE,,5.0
87,109,Directed,282,GB/SE,,4.0
32,62,Directed,283,RU/IN,,2.0
123,123,Directed,284,TR/TR,,81.0
47,42,Directed,285,IT/AU,,3.0
31,141,Directed,286,FR/ME,,2.0
12,115,Directed,287,US/EE,,75.0
27,35,Directed,288,DE/CN,,1.0
44,91,Directed,289,BR/KZ,,1.0
87,84,Directed,290,GB/SO,,1.0
87,39,Directed,291,GB/KR,,28.0
7,32,Directed,292,MY/RU,,3.0
87,89,Directed,293,GB/IE,,21.0
31,87,Directed,294,FR/GB,,11.0
123,87,Directed,295,TR/GB,,9.0
123,100,Directed,296,TR/IQ,,1.0
31,66,Directed,297,FR/SN,,1.0
51,108,Directed,298,NG/QA,,1.0
51,74,Directed,300,NG/CO,,8.0
31,40,Directed,301,FR/AR,,9.0
31,74,Directed,302,FR/CO,,11.0
12,69,Directed,303,US/PL,,34.0
63,69,Directed,304,ES/PL,,4.0
87,31,Directed,306,GB/FR,,63.0
63,65,Directed,307,ES/RS,,2.0
20,44,Directed,308,SA/BR,,1.0
6,87,Directed,309,NL/GB,,1.0
62,74,Directed,310,IN/CO,,6.0
47,12,Directed,311,IT/US,,120.0
123,94,Directed,312,TR/AD,,1.0
34,101,Directed,314,TH/IL,,1.0
31,105,Directed,315,FR/KE,,3.0
7,74,Directed,316,MY/CO,,2.0
31,65,Directed,318,FR/RS,,1.0
31,47,Directed,319,FR/IT,,9.0
27,105,Directed,320,DE/KE,,9.0
44,105,Directed,321,BR/KE,,8.0
7,105,Directed,322,MY/KE,,7.0
72,39,Directed,323,MX/KR,,1.0
63,105,Directed,324,ES/KE,,5.0
34,105,Directed,325,TH/KE,,11.0
6,105,Directed,326,NL/KE,,1.0
20,31,Directed,327,SA/FR,,11.0
15,105,Directed,328,ID/KE,,34.0
63,107,Directed,329,ES/EG,,42.0
20,107,Directed,330,SA/EG,,59.0
15,100,Directed,331,ID/IQ,,3.0
49,62,Directed,332,JP/IN,,13.0
44,108,Directed,333,BR/QA,,1.0
40,42,Directed,334,AR/AU,,12.0
123,42,Directed,335,TR/AU,,5.0
47,56,Directed,336,IT/JM,,1.0
123,44,Directed,337,TR/BR,,2.0
34,31,Directed,338,TH/FR,,20.0
123,47,Directed,339,TR/IT,,1.0
123,39,Directed,340,TR/KR,,1.0
34,100,Directed,341,TH/IQ,,1.0
63,109,Directed,343,ES/SE,,7.0
6,12,Directed,344,NL/US,,14.0
47,105,Directed,345,IT/KE,,2.0
51,62,Directed,346,NG/IN,,1.0
6,121,Directed,347,NL/KP,,1.0
63,128,Directed,348,ES/UA,,1.0
12,110,Directed,349,US/IO,,5.0
20,108,Directed,350,SA/QA,,3.0
12,134,Directed,351,US/TN,,8.0
31,89,Directed,352,FR/IE,,1.0
49,111,Directed,354,JP/MZ,,2.0
63,111,Directed,355,ES/MZ,,1.0
77,107,Directed,356,VE/EG,,2.0
27,31,Directed,357,DE/FR,,5.0
63,31,Directed,358,ES/FR,,44.0
63,63,Directed,359,ES/ES,,117.0
62,40,Directed,360,IN/AR,,132.0
87,112,Directed,361,GB/NA,,2.0
51,112,Directed,362,NG/NA,,1.0
44,62,Directed,363,BR/IN,,12.0
12,112,Directed,364,US/NA,,8.0
6,74,Directed,365,NL/CO,,1.0
63,87,Directed,366,ES/GB,,11.0
20,87,Directed,367,SA/GB,,4.0
47,71,Directed,368,IT/CA,,7.0
40,31,Directed,369,AR/FR,,3.0
44,40,Directed,370,BR/AR,,6.0
77,40,Directed,371,VE/AR,,2.0
15,112,Directed,372,ID/NA,,1.0
32,40,Directed,373,RU/AR,,1.0
7,40,Directed,374,MY/AR,,4.0
42,63,Directed,375,AU/ES,,4.0
27,69,Directed,376,DE/PL,,6.0
32,47,Directed,377,RU/IT,,1.0
44,63,Directed,378,BR/ES,,18.0
42,87,Directed,379,AU/GB,,14.0
12,108,Directed,380,US/QA,,1.0
31,108,Directed,381,FR/QA,,3.0
15,130,Directed,382,ID/MD,,1.0
40,32,Directed,383,AR/RU,,5.0
40,47,Directed,384,AR/IT,,5.0
51,31,Directed,386,NG/FR,,1.0
49,105,Directed,387,JP/KE,,5.0
47,44,Directed,388,IT/BR,,12.0
40,62,Directed,389,AR/IN,,1.0
